id,name,host_total_listings_count,neighbourhood_group_cleansed,accommodates,price,has_availability,availability_365
750066,Stylish apartment Sant Antoni with balcony,10.0,Eixample,2,130.0,t,108
892922,Amazing ap. terrific location next Pl. Cataluña,10.0,Eixample,4,208.0,t,47
892927,TERRIFIC LOCATION NEXT PLAZA CATALUNYA RAMBLAS,10.0,Eixample,5,299.0,t,29
892943,HUGE AP. 120 mq PLAZA CATALUÑA RAMBLA CITY CENTRE,10.0,Eixample,7,335.0,t,48
892949,AMAZING up to 6 people CITY CENTRE PL.CATALUÑA,10.0,Eixample,6,278.0,t,53
893052,Lovely top floor private terrace,47.0,Gràcia,2,188.0,t,336
893399,"NEW APARTMENT, NEAR TO THE BEACH WITH PARKING",5.0,Sant Martí,5,193.0,t,63
894483,LA CASA DEL CLOT: ROOM 3 MUY BONITA,9.0,Sant Martí,1,80.0,t,335
894512,Casa del Clot: Room Nº 4. VERY NICE,9.0,Sant Martí,1,50.0,t,364
895091,Spectacular Five Senses  Mallorca Apartment,1.0,Eixample,6,204.0,t,323
753322,Big beautiful apartment in Gracia 4 rooms,10.0,Gràcia,8,265.0,t,302
