X;Y;OBJECTID;Comunidad_;Provincia;Codigo_in;Termino_M;Identifica;Nombre;Longitud;Grado_ocup;Paseo_mar;Condicione;Zona_fonde;Nudismo;Vegetacio;Bandera_az;Auxilio_y_;Señalizac;Autobus;Aparcamien;Aseos;Lavapies;Duchas
-63.395.000.001.441;367.960.999.991.135;266;Andalucía;Cádiz;11032;Sanlúcar de Barrameda;174;Bonanza;1200;Bajo;0;Aguas tranquilas;1;0;1;0;1;0;1;0;0;0;0
-35.725.999.999.277;367.215.999.989.903;364;Andalucía;Granada;18173;Salobreña;226;Punta del Río;1200;Bajo;0;Oleaje moderado;1;0;1;0;1;1;1;0;0;0;0
-440.879.999.991.569;367.178.999.988.913;407;Andalucía;Málaga;29067;Málaga;293;La Malagueta;1200;Alto;1;Oleaje moderado;1;0;1;0;1;1;1;1;1;1;1
-449.350.000.018.349;366.235.999.989.007;459;Andalucía;Málaga;29901;Torremolinos;353;El Bajondillo;1200;Alto;1;Oleaje moderado;1;0;0;0;1;1;1;1;1;1;1
-634.460.000.011.675;435.540.999.991.856;520;"Asturias; Principado de";Asturias;33021;Cudillero;405;Río Cabo;1200;Bajo;0;Oleaje fuerte;0;0;1;0;0;0;0;0;0;0;0
-487.650.000.041.863;434.420.999.989.276;597;"Asturias; Principado de";Asturias;33036;Llanes;483;San Antolín;1200;Alto;0;Oleaje fuerte / Ventosa;0;0;1;0;1;1;0;1;0; ;1
172.319.999.968.587;412.125.999.993.498;789;Cataluña/Catalunya;Barcelona;8307;Vilanova i la Geltrú;951;Ribes Roges;1200;Alto;1;Aguas tranquilas;1;0;0;1;1;1;1;1;1; ;1
240.690.000.008.685;41.508.599.998.942;911;Cataluña/Catalunya;Barcelona;8029;Cabrera de Mar;882;Cabrera;1200;Alto;0;Aguas tranquilas;0;0;0;0;1;1;1;1;1; ;1
0.857700000418693;409.389.999.990.794;1042;Cataluña/Catalunya;Tarragona;43162;Vandellòs i l'Hospitalet de l'Infant;1160;L'Almadrava;1200;Medio;1;Aguas tranquilas;0;0;0;0;1;1;1;1;1;1;1
113.879.999.986.185;410.734.999.988.671;1124;Cataluña/Catalunya;Tarragona;43905;Salou;1186;Playa de Levante;1200;Alto;1;Aguas tranquilas;1;0;1;1;1;1;1;1;1; ;1
0.333799999759286;402.892.999.990.061;1284;Comunitat Valenciana;Castellón/Castelló;12089;Peníscola/Peñíscola;1455;Basseta;1200;Bajo;0;Oleaje moderado;0;0;1;0;0;0;0;1;0;0;0
-0.65229999960068;38.045.999.999.383;1328;Comunitat Valenciana;Alicante/Alacant;3076;Guardamar del Segura;1326;El Campo;1200;Bajo;0;Oleaje moderado;0;0;1;0;1;1;1;1;1;1;0
-0.127799999789964;398.023.999.993.139;1420;Comunitat Valenciana;Castellón/Castelló;12077;Moncofa;1444;El Grau;1200;Alto;1;Oleaje moderado;0;0;0;1;1;1;1;1;1; ;1
-0.201700000062855;396.821.999.990.277;1446;Comunitat Valenciana;Valencia/València;46082;Canet d'En Berenguer;1490;Racó de Mar;1200;Alto;1;Aguas tranquilas;0;0;1;1;1;1;1;1;1;1;1
-0.208499999726938;396.638.999.990.206;1520;Comunitat Valenciana;Valencia/València;46220;Sagunto/Sagunt;1525;Port de Sagunt;1200;Alto;1;Aguas tranquilas;1;0;1;1;1;1;1;1;1;1;0
-0.240899999711642;391.668.999.991.475;1538;Comunitat Valenciana;Valencia/València;46105;Cullera;1497;Sant Antoni;1200;Alto;1;Oleaje moderado;0;0;0;1;1;1;1;1;1;1;0
-0.316400000116871;395.217.999.991.054;1552;Comunitat Valenciana;Valencia/València;46166;Meliana;1511;Meliana;1200;Bajo;0;Aguas tranquilas;0;0;1;0;0;0;0;1;1;1;0
-903.239.999.963.022;426.735.999.992.724;1657;Galicia;A Coruña;15071;Porto do Son;1816;As Seiras;1200;Medio;0;Oleaje fuerte / Ventosa;0;0;0;0;1;1;1;1;1;0;0
-89.925.000.003.727;427.342.999.990.662;1801;Galicia;A Coruña;15071;Porto do Son;1831;Cabeiro;1200;Alto;0;Oleaje moderado / Ventosa;0;0;1;0;1;1;1;0;1;1;1
